BUS_name,timestamp,measurement,value,unit
SF_0004,2022-01-01T00:00:00,consumedEnergy,90665.8923322408,kWh
SF_0004,2022-01-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-02-01T00:00:00,consumedEnergy,90656.1939943465,kWh
SF_0004,2022-02-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-03-01T00:00:00,consumedEnergy,95331.0972245351,kWh
SF_0004,2022-03-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-04-01T00:00:00,consumedEnergy,80629.5709448879,kWh
SF_0004,2022-04-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-05-01T00:00:00,consumedEnergy,35821.8658055627,kWh
SF_0004,2022-05-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-06-01T00:00:00,consumedEnergy,48808.3737130231,kWh
SF_0004,2022-06-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-07-01T00:00:00,consumedEnergy,51761.1197214485,kWh
SF_0004,2022-07-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-08-01T00:00:00,consumedEnergy,78006.0988624675,kWh
SF_0004,2022-08-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-09-01T00:00:00,consumedEnergy,64221.4049127124,kWh
SF_0004,2022-09-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-10-01T00:00:00,consumedEnergy,81917.3728394138,kWh
SF_0004,2022-10-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-11-01T00:00:00,consumedEnergy,87801.5101091554,kWh
SF_0004,2022-11-01T00:00:00,generatedEnergy,0,kWh
SF_0004,2022-12-01T00:00:00,consumedEnergy,116188.299540206,kWh
SF_0004,2022-12-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-01-01T00:00:00,consumedEnergy,4274.82863522682,kWh
SF_0172,2022-01-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-02-01T00:00:00,consumedEnergy,4108.91632251626,kWh
SF_0172,2022-02-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-03-01T00:00:00,consumedEnergy,3967.04783438974,kWh
SF_0172,2022-03-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-04-01T00:00:00,consumedEnergy,3252.83117858444,kWh
SF_0172,2022-04-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-05-01T00:00:00,consumedEnergy,2192.29735481524,kWh
SF_0172,2022-05-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-06-01T00:00:00,consumedEnergy,1649.38177293828,kWh
SF_0172,2022-06-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-07-01T00:00:00,consumedEnergy,1910.48632758976,kWh
SF_0172,2022-07-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-08-01T00:00:00,consumedEnergy,3195.4900613996,kWh
SF_0172,2022-08-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-09-01T00:00:00,consumedEnergy,2828.43357453238,kWh
SF_0172,2022-09-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-10-01T00:00:00,consumedEnergy,3673.15032344424,kWh
SF_0172,2022-10-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-11-01T00:00:00,consumedEnergy,3814.66147987339,kWh
SF_0172,2022-11-01T00:00:00,generatedEnergy,0,kWh
SF_0172,2022-12-01T00:00:00,consumedEnergy,3974.65113468985,kWh
SF_0172,2022-12-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-01-01T00:00:00,consumedEnergy,58905.2013715247,kWh
SF_0222,2022-01-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-02-01T00:00:00,consumedEnergy,45093.7508822244,kWh
SF_0222,2022-02-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-03-01T00:00:00,consumedEnergy,49649.8390308163,kWh
SF_0222,2022-03-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-04-01T00:00:00,consumedEnergy,49292.3109368066,kWh
SF_0222,2022-04-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-05-01T00:00:00,consumedEnergy,27537.8979964072,kWh
SF_0222,2022-05-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-06-01T00:00:00,consumedEnergy,26947.4950030181,kWh
SF_0222,2022-06-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-07-01T00:00:00,consumedEnergy,33493.9314532594,kWh
SF_0222,2022-07-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-08-01T00:00:00,consumedEnergy,34236.3233915275,kWh
SF_0222,2022-08-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-09-01T00:00:00,consumedEnergy,28659.6966006853,kWh
SF_0222,2022-09-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-10-01T00:00:00,consumedEnergy,42643.6610617508,kWh
SF_0222,2022-10-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-11-01T00:00:00,consumedEnergy,47847.3757567153,kWh
SF_0222,2022-11-01T00:00:00,generatedEnergy,0,kWh
SF_0222,2022-12-01T00:00:00,consumedEnergy,62340.5165152644,kWh
SF_0222,2022-12-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-01-01T00:00:00,consumedEnergy,12445.643164292,kWh
SF_0557,2022-01-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-02-01T00:00:00,consumedEnergy,11985.6871001384,kWh
SF_0557,2022-02-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-03-01T00:00:00,consumedEnergy,12792.7625098198,kWh
SF_0557,2022-03-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-04-01T00:00:00,consumedEnergy,11752.6303593714,kWh
SF_0557,2022-04-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-05-01T00:00:00,consumedEnergy,4804.98263510539,kWh
SF_0557,2022-05-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-06-01T00:00:00,consumedEnergy,5385.94352133938,kWh
SF_0557,2022-06-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-07-01T00:00:00,consumedEnergy,5809.78927557073,kWh
SF_0557,2022-07-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-08-01T00:00:00,consumedEnergy,8855.89123570302,kWh
SF_0557,2022-08-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-09-01T00:00:00,consumedEnergy,8591.81480210656,kWh
SF_0557,2022-09-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-10-01T00:00:00,consumedEnergy,9526.56780379328,kWh
SF_0557,2022-10-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-11-01T00:00:00,consumedEnergy,11084.0202126136,kWh
SF_0557,2022-11-01T00:00:00,generatedEnergy,0,kWh
SF_0557,2022-12-01T00:00:00,consumedEnergy,15137.3873801464,kWh
SF_0557,2022-12-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-01-01T00:00:00,consumedEnergy,95300.3625825322,kWh
SF_0744,2022-01-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-02-01T00:00:00,consumedEnergy,89758.8932057892,kWh
SF_0744,2022-02-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-03-01T00:00:00,consumedEnergy,98765.8670183289,kWh
SF_0744,2022-03-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-04-01T00:00:00,consumedEnergy,90483.3796897303,kWh
SF_0744,2022-04-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-05-01T00:00:00,consumedEnergy,47719.2761464241,kWh
SF_0744,2022-05-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-06-01T00:00:00,consumedEnergy,44248.0157405682,kWh
SF_0744,2022-06-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-07-01T00:00:00,consumedEnergy,54791.7368117922,kWh
SF_0744,2022-07-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-08-01T00:00:00,consumedEnergy,60922.4846655595,kWh
SF_0744,2022-08-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-09-01T00:00:00,consumedEnergy,58062.4324436044,kWh
SF_0744,2022-09-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-10-01T00:00:00,consumedEnergy,77960.7399850356,kWh
SF_0744,2022-10-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-11-01T00:00:00,consumedEnergy,87163.8279640213,kWh
SF_0744,2022-11-01T00:00:00,generatedEnergy,0,kWh
SF_0744,2022-12-01T00:00:00,consumedEnergy,130256.983746614,kWh
SF_0744,2022-12-01T00:00:00,generatedEnergy,0,kWh
SF_0809,2022-01-01T00:00:00,consumedEnergy,916.131861488113,kWh
SF_0809,2022-01-01T00:00:00,generatedEnergy,1.83905986437349,kWh
SF_0809,2022-02-01T00:00:00,consumedEnergy,898.086412894027,kWh
SF_0809,2022-02-01T00:00:00,generatedEnergy,1.87097517640982,kWh
SF_0809,2022-03-01T00:00:00,consumedEnergy,950.736165627567,kWh
SF_0809,2022-03-01T00:00:00,generatedEnergy,1.8102183631347,kWh
SF_0809,2022-04-01T00:00:00,consumedEnergy,844.719885250921,kWh
SF_0809,2022-04-01T00:00:00,generatedEnergy,1.49170223325132,kWh
SF_0809,2022-05-01T00:00:00,consumedEnergy,499.591736739072,kWh
SF_0809,2022-05-01T00:00:00,generatedEnergy,0.799715536259745,kWh
SF_0809,2022-06-01T00:00:00,consumedEnergy,452.566494308475,kWh
SF_0809,2022-06-01T00:00:00,generatedEnergy,0.758657689028263,kWh
SF_0809,2022-07-01T00:00:00,consumedEnergy,466.557389133186,kWh
SF_0809,2022-07-01T00:00:00,generatedEnergy,1.01087865032449,kWh
SF_0809,2022-08-01T00:00:00,consumedEnergy,716.168731781745,kWh
SF_0809,2022-08-01T00:00:00,generatedEnergy,1.39699295736333,kWh
SF_0809,2022-09-01T00:00:00,consumedEnergy,635.564173192091,kWh
